gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,avg_monthly_value,tenure_ratio,service_density,tenure_MonthlyCharges,Churn
0,0,1,0,54,1,0,1,1,0,0,1,1,1,74.55,4191.45,0,0,0,1,0,0,0,76.20818181818181,0.012880296723872676,2,4025.7,0
1,0,0,1,66,1,1,0,0,0,0,0,1,1,94.42040383118467,6342.326406312333,1,0,1,0,0,0,0,93.36037044519763,0.010552836245632656,1,6320.0886569539025,1
0,0,0,0,64,1,1,0,1,0,0,1,1,1,105.57550537110893,6944.096877433056,1,0,0,0,0,0,0,106.02356749382176,0.00928654251246645,1,6809.2268994043625,1
0,0,0,0,42,1,1,0,0,0,0,0,0,1,77.96590819798853,3365.7887250561466,1,0,0,0,0,1,0,76.60399573160667,0.012757755853543742,1,3347.5896358902546,1
1,0,1,1,1,1,0,0,0,0,0,1,0,1,80.05,80.05,1,0,0,0,0,0,1,40.025,0.012338062924120914,0,80.05,1
1,1,0,0,5,1,0,0,0,0,0,0,0,1,74.9292118506167,341.96774665138173,1,0,0,0,0,0,0,56.99462444189696,0.014585447979346884,0,374.64605925308354,1
1,0,0,0,14,1,0,0,0,0,0,0,0,0,71.68597478413311,1007.9760810276766,1,0,0,0,0,0,0,64.80669130424381,0.014458111653397438,0,1043.4174642841335,1
0,0,1,1,72,1,1,1,1,1,1,0,1,0,81.0,5750.0,0,0,0,1,1,0,0,78.76712328767124,0.012519561815336464,3,5832.0,0
0,0,0,0,58,1,0,0,0,0,0,0,0,0,20.8,1212.25,0,1,0,1,0,0,1,20.546610169491526,0.04780548114568308,0,1206.4,0
1,0,0,0,6,1,0,0,0,0,0,0,0,0,77.97772834118747,434.40776157773655,1,0,0,0,0,1,0,62.058251653962365,0.0137801882013667,0,467.86637004712486,1
0,0,0,0,23,1,0,0,0,0,0,0,0,0,52.096507287121895,1208.4219095180392,0,0,0,0,0,0,0,50.244463407823034,0.01909079271213513,1,1200.1590760035067,1
0,0,0,0,41,1,0,0,1,0,1,1,0,1,89.55,3729.75,1,0,1,0,0,1,0,88.80357142857143,0.010989747369831803,2,3671.5499999999997,0
1,0,0,0,1,1,1,0,0,0,0,0,0,1,75.1,75.1,1,0,0,0,0,1,0,37.55,0.01314060446780552,0,75.1,1
1,0,1,0,59,1,1,0,0,1,1,1,0,0,93.35,5386.5,1,0,0,0,0,1,0,89.775,0.010951276102088167,1,5507.65,0
0,0,1,1,44,1,0,0,1,0,1,0,0,1,54.9,2549.1,0,0,0,0,0,0,0,56.64666666666666,0.01725422532449708,2,2415.6,0
1,0,1,1,19,1,0,0,0,0,0,0,0,0,20.15,387.7,0,1,0,1,0,0,1,19.384999999999998,0.04888088500128634,0,382.84999999999997,0
1,0,0,0,13,1,1,0,1,0,0,0,0,1,91.23720019464662,1258.1496690743695,1,0,0,0,0,0,0,84.22417722792915,0.011071612603911948,1,1271.652907279384,1
0,0,0,0,61,1,1,1,0,1,0,1,1,0,104.0,6363.45,1,0,1,0,0,1,0,102.63629032258065,0.009584488840355412,1,6344.0,0
1,0,0,0,49,1,1,0,0,0,0,1,1,0,89.3039094530447,4374.995818160324,0,0,0,0,0,0,0,86.40708624637162,0.01142424758514633,1,4435.165226367389,1
0,0,1,0,58,1,0,0,1,1,0,1,1,1,107.29959185814103,6286.54607906203,1,0,0,0,0,1,0,105.34664242337718,0.009338015522971787,1,6294.766385430651,1
1,0,1,1,72,1,1,1,0,1,1,0,0,0,66.85,4758.8,0,0,0,1,0,0,0,65.18904109589042,0.015126685995209882,2,4813.2,0
0,0,1,1,24,1,1,0,0,0,0,0,0,1,24.1,587.4,0,1,0,1,0,0,0,23.496,0.04078857919782461,0,578.4000000000001,0
1,0,0,0,5,1,0,0,0,0,0,0,0,0,19.85,108.05,0,1,0,0,1,0,0,18.008333333333333,0.04585052728106374,0,99.25,1
1,0,1,1,28,1,1,0,0,0,0,0,0,0,49.9,1410.25,0,0,0,0,0,0,1,48.62931034482759,0.019840566873339238,0,1397.2,0
0,0,0,0,22,1,1,0,0,0,0,0,0,1,79.30878114950224,1733.7574249744816,0,0,0,0,0,1,0,75.38075760758616,0.01268201707659048,1,1744.7931852890492,1
1,0,0,0,10,1,1,0,0,0,0,0,1,0,86.45,830.85,1,0,0,0,0,1,0,75.53181818181818,0.012021398088597703,0,864.5,1
0,1,0,0,32,1,0,0,0,0,0,0,0,1,74.87506929127107,2302.0336585791124,1,0,0,0,0,1,0,69.75859571451856,0.01389480399831804,0,2396.0022173206744,1
0,0,1,1,72,1,1,0,0,1,0,0,1,1,90.8,6511.8,1,0,0,1,1,0,0,89.2027397260274,0.011055152929615526,0,6537.599999999999,0
0,0,1,0,36,0,0,1,0,1,0,0,0,0,35.35,1317.95,0,0,1,0,0,0,1,35.62027027027027,0.027294438758103036,1,1272.6000000000001,0
0,0,0,0,65,1,1,0,1,1,0,1,1,1,106.39734761014608,6977.838752499435,1,0,0,0,0,1,0,105.72482958332476,0.009313884255614727,1,6915.827594659496,1
0,0,1,1,7,1,0,0,0,0,0,0,0,0,44.75,333.65,0,0,0,0,0,1,0,41.70625,0.02091737636336471,0,313.25,0
1,1,0,0,17,1,0,0,1,1,0,1,0,1,89.15,1496.9,1,0,0,0,0,1,0,83.16111111111111,0.011349222244475599,1,1515.5500000000002,1
0,0,1,1,71,1,1,0,1,0,0,1,1,1,105.86877039603934,7698.095646160566,1,0,0,0,0,0,0,106.9179950855634,0.009222469658528652,1,7516.682698118793,1
0,0,0,0,49,1,1,0,1,0,1,1,1,1,106.65,5168.1,1,0,1,0,0,0,0,103.36200000000001,0.00947940647308042,2,5225.85,0
1,0,1,0,50,1,1,1,0,1,0,1,1,1,104.4,5232.9,1,0,1,0,0,0,1,102.60588235294117,0.00955310571466784,1,5220.0,0
1,0,1,0,14,1,1,1,0,0,0,1,0,1,64.7,941.0,0,0,0,0,0,0,0,62.733333333333334,0.014861995753715499,1,905.8000000000001,1
1,0,0,0,4,1,1,1,0,0,0,0,0,1,80.15,319.85,1,0,0,0,0,1,0,63.970000000000006,0.012466884837151316,1,320.6,0
1,0,1,1,9,1,0,1,1,1,1,0,0,0,65.0,663.05,0,0,0,0,0,0,1,66.30499999999999,0.013553196295459681,3,585.0,1
0,0,0,0,10,1,0,1,0,1,0,0,0,1,79.85,887.35,1,0,0,0,0,0,1,80.66818181818182,0.011256824449822705,1,798.5,0
1,0,0,0,43,0,0,0,0,1,0,1,1,1,49.05,2076.2,0,0,0,0,0,0,0,47.18636363636363,0.02070094357789332,0,2109.15,1
1,0,0,0,1,1,0,0,0,0,0,0,1,1,81.95,81.95,1,0,0,0,0,1,0,40.975,0.012055455093429776,0,81.95,1
0,0,0,0,67,1,1,0,0,1,1,1,1,0,109.40025141413255,7403.6740750514855,1,0,0,0,0,0,0,108.90034686433366,0.009052670079847887,1,7329.318791783806,1
0,0,1,0,66,0,0,1,1,1,1,1,0,1,56.6,3789.2,0,0,0,1,0,0,0,56.55522388059701,0.017413329111920218,3,3735.6,0
1,0,1,1,38,1,0,0,0,0,0,0,0,1,19.95,756.4,0,1,0,1,0,0,1,19.394871794871793,0.050171639820438346,0,758.1,0
1,0,0,0,9,1,1,0,0,0,0,0,0,1,91.95952036379614,890.6074455415728,0,0,0,0,0,0,0,86.64953433329661,0.010570181373915239,0,851.5173297381685,1
0,0,0,0,26,1,0,0,1,0,0,1,0,1,85.75,2146.5,1,0,0,0,0,1,0,79.5,0.01210710128055879,1,2229.5,0
1,0,0,0,1,1,0,0,0,0,0,0,0,1,19.61888421301827,19.61888421301827,0,1,0,0,0,0,1,9.809442106509135,0.04849982762805252,0,19.61888421301827,1
1,0,1,0,21,1,0,0,0,0,0,0,1,0,101.38695586701206,2195.5251750099674,1,0,0,0,0,0,0,96.96729792515832,0.00991761622756216,1,2194.9250704045094,1
1,0,1,1,17,1,1,1,0,1,0,1,1,1,104.2,1743.5,1,0,0,0,0,1,0,96.86111111111111,0.009744912582401835,1,1771.4,1
0,0,1,0,1,0,0,0,0,0,0,1,0,0,40.164767052902,40.164767052902,0,0,0,0,0,1,0,20.082383526451,0.024292651682551434,1,40.164767052902,1
1,1,0,0,27,1,1,1,1,1,0,1,1,1,110.5,2857.6,1,0,1,0,0,0,0,102.05714285714285,0.009445182956692087,2,2983.5,0
1,1,0,0,43,1,1,0,1,0,0,1,0,1,90.25,3838.75,1,0,0,0,0,1,0,87.24431818181819,0.0111986457451657,1,3880.75,0
0,0,0,0,1,1,0,0,0,0,0,0,0,1,69.76056771621687,69.76056771621687,1,0,0,0,0,1,0,34.880283858108434,0.014132208234394733,0,69.76056771621687,1
0,0,0,0,4,1,0,0,0,0,0,0,0,0,19.0,73.45,0,1,0,0,0,0,1,14.690000000000001,0.053727333781061114,0,76.0,0
1,0,0,0,16,1,1,0,0,0,0,0,0,1,95.87104914608382,1532.00726765819,1,0,0,0,0,1,0,86.74344514025809,0.010957622264752878,1,1596.6334693277422,1
0,0,0,0,3,0,0,0,0,0,0,0,0,1,49.76849485228968,163.20629001629754,0,0,0,0,0,1,0,40.801572504074386,0.018301249456666974,0,149.30548455686903,1
0,0,0,0,1,0,0,0,0,0,0,0,1,1,35.25,35.25,0,0,0,0,0,0,0,17.625,0.027586206896551724,0,35.25,1
0,0,0,0,69,1,0,0,1,1,1,1,1,1,104.05,7262.0,1,0,1,0,0,0,0,103.74285714285715,0.00950020652622883,2,7179.45,1
0,0,0,0,12,1,1,0,0,0,0,0,0,0,24.95,280.4,0,1,1,0,1,0,0,21.569230769230767,0.04264392324093817,0,299.4,0
0,0,1,1,72,1,0,0,0,0,0,0,0,0,21.0,1493.75,0,1,0,1,0,0,0,20.46232876712329,0.0481685900652283,0,1512.0,0
0,0,0,0,63,1,1,0,1,0,0,1,0,0,98.63232082757821,6137.783540393004,1,0,0,0,0,0,0,94.85465219031205,0.010387036549468974,1,6282.596659308889,1
0,0,0,0,2,0,0,0,0,0,0,0,0,0,44.13288894193692,80.15203836350958,0,0,0,0,0,1,0,26.717346121169854,0.024679844508249896,0,88.26577788387384,1
1,0,0,0,63,1,1,0,1,0,0,1,0,0,100.39047149672848,6196.120679644117,1,0,0,0,0,0,0,96.81438561943934,0.010166314379137198,1,6324.599704293894,1
1,0,1,0,49,1,0,0,0,0,0,0,0,1,20.05,923.1,0,1,1,0,0,0,0,18.462,0.0530245644410778,0,982.45,0
0,0,0,0,7,1,1,0,0,0,0,1,1,1,94.1,701.3,1,0,0,0,0,1,0,87.6625,0.0099672504627652,0,658.6999999999999,0
0,0,0,0,1,1,0,1,0,0,0,0,0,1,49.15632114460643,49.15632114460643,0,0,0,0,0,0,0,24.578160572303215,0.01993956642638088,1,49.15632114460643,1
0,0,0,0,33,1,1,0,0,0,0,0,0,0,85.69109940018562,2739.8340532023726,1,0,0,0,1,0,0,80.58335450595213,0.012040353315441205,0,2827.8062802061254,1
0,0,1,1,31,1,0,0,0,1,1,0,0,0,54.35,1647.0,0,0,0,0,0,0,1,51.46875,0.018810679611650484,1,1684.8500000000001,0
0,0,0,0,1,1,0,0,0,0,0,0,0,1,20.2,20.2,0,1,0,0,0,0,1,10.1,0.04716981132075472,0,20.2,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,45.15,45.15,0,0,0,0,0,1,0,22.575,0.021668472372697724,0,45.15,1
0,0,0,0,5,0,0,0,0,0,0,0,0,1,52.05653291095736,305.1762037035023,0,0,0,0,0,0,0,46.55330422496106,0.01849174300454653,0,287.8862757196723,1
1,0,0,1,67,1,1,0,1,0,1,1,1,1,104.0,7039.05,1,0,0,1,0,1,0,103.51544117647059,0.009516977862373136,2,6968.0,0
1,0,0,0,30,1,0,0,0,0,1,1,0,0,83.85063826035609,2557.174180310581,0,0,0,0,0,1,0,81.33035421038745,0.01192313852406404,1,2551.906312806525,1
0,0,0,0,9,0,0,0,0,0,0,0,0,1,48.0833623036096,442.06177328605025,0,0,0,0,0,1,0,43.631071087575314,0.020791256654160997,0,438.98621020738244,1
0,0,1,1,61,1,0,0,0,0,0,0,0,0,20.55,1305.95,0,1,0,1,1,0,0,21.063709677419357,0.04667355292857416,0,1253.55,0
1,0,1,0,37,1,1,0,0,1,0,1,1,1,99.5,3762.0,1,0,0,0,0,1,0,99.0,0.009832580387988307,0,3681.5,1
0,0,1,0,50,1,1,0,1,0,0,1,1,1,98.25,4858.7,1,0,1,0,0,1,0,95.26862745098039,0.010288700948618229,1,4912.5,0
1,0,0,0,18,1,1,0,0,0,1,0,1,1,90.1,1612.75,1,0,0,0,0,1,0,84.88157894736842,0.011154144074360961,1,1621.8,1
1,0,0,0,14,1,0,0,0,0,0,0,0,1,71.0,914.0,1,0,0,0,1,0,0,60.93333333333333,0.015300546448087432,0,994.0,1
0,0,0,0,9,0,0,0,0,0,0,1,0,1,34.7,296.1,0,0,0,0,1,0,0,29.610000000000003,0.030292830696735103,0,312.3,1
1,0,1,0,48,0,0,1,0,1,0,0,1,1,45.3,2145.0,0,0,0,0,0,0,0,43.775510204081634,0.022367194780987885,1,2174.3999999999996,1
0,0,0,0,1,1,0,0,0,0,0,0,0,1,70.01793280461712,70.01793280461712,1,0,0,0,0,1,0,35.00896640230856,0.014080961121239613,0,70.01793280461712,1
1,1,0,0,36,1,0,0,1,0,0,0,0,1,88.21452810277546,3224.0867569385223,1,0,0,0,0,0,0,86.69433449939818,0.01128624349996163,1,3189.8624767941064,1
1,1,0,0,67,1,1,0,1,0,0,0,0,0,54.9,3725.5,0,0,0,0,0,1,0,54.786764705882355,0.0179793371796592,1,3678.2999999999997,0
0,0,0,0,11,0,0,0,0,0,0,0,0,0,45.36210853031547,517.882812987411,0,0,0,0,0,0,0,40.95928280657746,0.02244393119918161,1,527.3814515174965,1
1,0,1,1,16,0,0,0,0,0,0,0,1,1,35.5,552.7,0,0,0,0,1,0,0,32.51176470588236,0.02889651435795557,0,568.0,0
1,0,0,0,6,1,1,0,1,0,0,1,0,1,90.1,521.3,1,0,0,0,0,1,0,74.47142857142856,0.011487650775416428,1,540.5999999999999,1
0,0,0,1,3,1,0,0,0,0,0,0,0,0,20.2,50.6,0,1,0,0,0,0,0,12.65,0.05813953488372093,0,60.599999999999994,0
0,0,0,0,43,1,1,0,0,0,1,1,1,1,100.0,4211.55,1,0,1,0,0,1,0,95.71704545454546,0.010207593975145696,1,4300.0,1
0,0,0,0,24,1,0,0,0,0,0,0,0,1,73.61469228383791,1722.773456745122,0,0,0,0,0,0,0,70.83530006909355,0.014158439367382909,0,1714.7036906684934,1
0,0,0,0,34,1,0,0,0,0,0,0,1,1,91.99331016822056,3095.6494768514613,1,0,0,0,0,1,0,88.4009947339905,0.011008282053255982,0,3130.510470704785,1
